,season,date,team_h,team_a,h_goals,a_goals,h_xg,a_xg
2776,2021,2021-11-20 15:00:00,Wolverhampton Wanderers,West Ham,1,0,1.31903,0.436331
2777,2021,2021-11-20 17:30:00,Liverpool,Arsenal,4,0,3.97374,0.268025
2778,2021,2021-11-21 14:00:00,Manchester City,Everton,3,0,2.61302,0.266894
2779,2021,2021-11-21 16:30:00,Tottenham,Leeds,2,1,2.31744,1.46689
2780,2021,2021-11-27 12:30:00,Arsenal,Newcastle United,2,0,2.84493,0.185383
2781,2021,2021-11-27 15:00:00,Crystal Palace,Aston Villa,1,2,0.962129,0.454305
2782,2021,2021-11-27 15:00:00,Liverpool,Southampton,4,0,3.07278,0.966132
2783,2021,2021-11-27 15:00:00,Norwich,Wolverhampton Wanderers,0,0,1.4047,0.297157
2784,2021,2021-11-27 17:30:00,Brighton,Leeds,0,0,1.90498,0.864829
2785,2021,2021-11-28 14:00:00,Brentford,Everton,1,0,1.19813,0.968075
2786,2021,2021-11-28 14:00:00,Leicester,Watford,4,2,2.16027,2.38383
2787,2021,2021-11-28 14:00:00,Manchester City,West Ham,2,1,2.72187,0.171763
2788,2021,2021-11-28 16:30:00,Chelsea,Manchester United,1,1,2.34525,0.563367
2789,2021,2021-11-30 19:30:00,Newcastle United,Norwich,1,1,1.15636,1.51084
2790,2021,2021-11-30 20:15:00,Leeds,Crystal Palace,1,0,1.9818,0.707328
2791,2021,2021-12-01 19:30:00,Watford,Chelsea,1,2,0.990877,0.908574
2792,2021,2021-12-01 19:30:00,West Ham,Brighton,1,1,1.14679,1.2607
2793,2021,2021-12-01 19:30:00,Wolverhampton Wanderers,Burnley,0,0,0.711691,0.195537
2794,2021,2021-12-01 19:30:00,Southampton,Leicester,2,2,1.91169,1.4401
2795,2021,2021-12-01 20:15:00,Aston Villa,Manchester City,1,2,0.772083,1.01897
2796,2021,2021-12-01 20:15:00,Everton,Liverpool,1,4,0.512263,2.86067
2797,2021,2021-12-02 19:30:00,Tottenham,Brentford,2,0,2.07248,0.225492
2798,2021,2021-12-02 20:15:00,Manchester United,Arsenal,3,2,1.85597,1.16638
2799,2021,2021-12-04 12:30:00,West Ham,Chelsea,3,2,2.0174,1.37049
2800,2021,2021-12-04 15:00:00,Newcastle United,Burnley,1,0,1.70609,0.604599
2801,2021,2021-12-04 15:00:00,Southampton,Brighton,1,1,1.34236,1.4872
2802,2021,2021-12-04 15:00:00,Wolverhampton Wanderers,Liverpool,0,1,0.095167,2.42332
2803,2021,2021-12-04 17:30:00,Watford,Manchester City,1,3,0.675105,4.03223
2804,2021,2021-12-05 14:00:00,Leeds,Brentford,2,2,1.41896,1.19959
2805,2021,2021-12-05 14:00:00,Manchester United,Crystal Palace,1,0,0.870376,0.520593
2806,2021,2021-12-05 14:00:00,Tottenham,Norwich,3,0,2.00668,1.06562
2807,2021,2021-12-05 16:30:00,Aston Villa,Leicester,2,1,1.84818,0.982614
2808,2021,2021-12-06 20:00:00,Everton,Arsenal,2,1,1.06108,1.05723
2809,2021,2021-12-10 20:00:00,Brentford,Watford,2,1,1.82799,0.561554
2810,2021,2021-12-11 12:30:00,Manchester City,Wolverhampton Wanderers,1,0,2.99915,0.0762839
2811,2021,2021-12-11 15:00:00,Arsenal,Southampton,3,0,2.08429,0.502215
2812,2021,2021-12-11 15:00:00,Chelsea,Leeds,3,2,2.74844,1.72934
2813,2021,2021-12-11 15:00:00,Liverpool,Aston Villa,1,0,2.71181,0.140573
2814,2021,2021-12-11 17:30:00,Norwich,Manchester United,0,1,0.986107,2.09817
2815,2021,2021-12-12 14:00:00,Burnley,West Ham,0,0,0.54801,0.998813
2816,2021,2021-12-12 14:00:00,Leicester,Newcastle United,4,0,2.05771,0.511934
2817,2021,2021-12-12 16:30:00,Crystal Palace,Everton,3,1,2.09864,1.27556
2818,2021,2021-12-14 19:45:00,Norwich,Aston Villa,0,2,0.502647,1.96261
2819,2021,2021-12-14 20:00:00,Manchester City,Leeds,7,0,3.31349,0.227498
2820,2021,2021-12-15 19:30:00,Brighton,Wolverhampton Wanderers,0,1,1.20118,1.11736
2821,2021,2021-12-15 19:30:00,Crystal Palace,Southampton,2,2,1.49244,0.625183
2822,2021,2021-12-15 20:00:00,Arsenal,West Ham,2,0,2.81482,0.338855
2823,2021,2021-12-16 19:45:00,Chelsea,Everton,1,1,3.20239,0.627528
2824,2021,2021-12-16 20:00:00,Liverpool,Newcastle United,3,1,2.93912,0.2064
2825,2021,2021-12-18 17:30:00,Leeds,Arsenal,1,4,1.31408,3.69008
2826,2021,2021-12-19 14:00:00,Wolverhampton Wanderers,Chelsea,0,0,0.321371,0.793952
2827,2021,2021-12-19 14:15:00,Newcastle United,Manchester City,0,4,0.174208,3.64686
2828,2021,2021-12-19 16:30:00,Tottenham,Liverpool,2,2,2.79777,1.54944
2829,2021,2021-12-26 15:00:00,Manchester City,Leicester,6,3,3.82869,2.43425
2830,2021,2021-12-26 15:00:00,Norwich,Arsenal,0,5,0.154212,2.87539
2831,2021,2021-12-26 15:00:00,Tottenham,Crystal Palace,3,0,2.82148,0.178324
2832,2021,2021-12-26 15:00:00,West Ham,Southampton,2,3,1.53745,1.35643
2833,2021,2021-12-26 17:30:00,Aston Villa,Chelsea,1,3,0.474029,2.8285
2834,2021,2021-12-26 20:00:00,Brighton,Brentford,2,0,0.943363,1.10342
2835,2021,2021-12-27 20:00:00,Newcastle United,Manchester United,1,1,1.26586,1.75587
2836,2021,2021-12-28 15:00:00,Watford,West Ham,1,4,1.0143,2.84084
2837,2021,2021-12-28 15:00:00,Crystal Palace,Norwich,3,0,2.38978,0.594134
2838,2021,2021-12-28 15:00:00,Southampton,Tottenham,1,1,0.353043,2.80917
2839,2021,2021-12-28 20:00:00,Leicester,Liverpool,1,0,0.615892,2.72682
2840,2021,2021-12-29 19:30:00,Chelsea,Brighton,1,1,0.763458,0.78663
2841,2021,2021-12-29 20:15:00,Brentford,Manchester City,0,1,0.238829,1.01763
2842,2021,2021-12-30 20:15:00,Manchester United,Burnley,3,1,1.80776,0.871738
2843,2021,2022-01-01 12:30:00,Arsenal,Manchester City,1,2,0.836949,1.94623
2844,2021,2022-01-01 15:00:00,Watford,Tottenham,0,1,0.303514,1.93752
2845,2021,2022-01-01 17:30:00,Crystal Palace,West Ham,2,3,2.69204,2.23146
2846,2021,2022-01-02 14:00:00,Brentford,Aston Villa,2,1,0.501329,1.13821
2847,2021,2022-01-02 14:00:00,Everton,Brighton,2,3,1.82698,1.48397
2848,2021,2022-01-02 14:00:00,Leeds,Burnley,3,1,2.04186,0.960493
2849,2021,2022-01-02 16:30:00,Chelsea,Liverpool,2,2,1.389,1.78897
2850,2021,2022-01-03 17:30:00,Manchester United,Wolverhampton Wanderers,0,1,0.768752,0.840925
2851,2021,2022-01-11 21:45:00,Southampton,Brentford,4,1,1.59306,0.621466
2852,2021,2022-01-12 21:45:00,West Ham,Norwich,2,0,2.89217,0.343347
2853,2021,2022-01-14 20:00:00,Brighton,Crystal Palace,1,1,2.18053,0.509681
2854,2021,2022-01-15 12:30:00,Manchester City,Chelsea,1,0,0.901703,0.613757
2855,2021,2022-01-15 15:00:00,Newcastle United,Watford,1,1,1.03855,1.49623
2856,2021,2022-01-15 15:00:00,Norwich,Everton,2,1,1.00153,0.541027
2857,2021,2022-01-15 15:00:00,Wolverhampton Wanderers,Southampton,3,1,2.29917,0.91728
2858,2021,2022-01-15 17:30:00,Aston Villa,Manchester United,2,2,1.82784,1.35378
2859,2021,2022-01-16 14:00:00,Liverpool,Brentford,3,0,3.49099,0.376656
2860,2021,2022-01-16 14:00:00,West Ham,Leeds,2,3,2.3549,2.26884
2861,2021,2022-01-18 09:45:00,Brighton,Chelsea,1,1,0.747557,0.572994
2862,2021,2022-01-19 19:30:00,Leicester,Tottenham,2,3,1.95031,4.24711
2863,2021,2022-01-19 20:00:00,Brentford,Manchester United,1,3,2.081,2.05969
2864,2021,2022-01-21 20:00:00,Watford,Norwich,0,3,1.30606,0.925212
2865,2021,2022-01-22 12:30:00,Everton,Aston Villa,0,1,1.2384,0.860245
2866,2021,2022-01-22 15:00:00,Brentford,Wolverhampton Wanderers,1,2,0.742573,0.218211
2867,2021,2022-01-22 15:00:00,Leeds,Newcastle United,0,1,1.12992,1.15904
2868,2021,2022-01-22 15:00:00,Manchester United,West Ham,1,0,1.75857,0.238027
2869,2021,2022-01-22 17:30:00,Southampton,Manchester City,1,1,1.00222,1.62907
2870,2021,2022-01-23 14:00:00,Arsenal,Burnley,0,0,1.35507,0.388963
2871,2021,2022-01-23 14:00:00,Crystal Palace,Liverpool,1,3,1.62615,1.49697
2872,2021,2022-01-23 14:00:00,Leicester,Brighton,1,1,1.70979,1.19738
2873,2021,2022-01-23 16:30:00,Chelsea,Tottenham,2,0,1.04212,0.328818
2874,2021,2022-02-05 18:00:00,Burnley,Watford,0,0,0.765905,0.933965
2875,2021,2022-02-08 19:45:00,West Ham,Watford,1,0,0.905143,0.335474
2876,2021,2022-02-08 19:45:00,Newcastle United,Everton,3,1,2.68732,0.823607
2877,2021,2022-02-08 20:00:00,Burnley,Manchester United,1,1,0.772721,1.83387
