Division,MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTResult,GF3Home,GA3Home,GF5Home,GA5Home,GF3Away,GA3Away,GF5Away,GA5Away,h_xg,a_xg,league,xG_diff,xg_margin,xg_ratio,rolling_xg_home_5,rolling_xg_away_5
E0,2014-08-23,Southampton,West Bromwich Albion,1718.77,1634.61,4.0,8.0,1.0,4.0,D,3.0,3.0,5.0,3.0,3.0,6.0,4.0,7.0,0.665853,0.665791,ENG-Premier League,6.20000000000065e-05,6.20000000000065e-05,1.00009162020571,0.665853,0.665791
E0,2014-08-23,Swansea,Burnley,1672.92,1613.48,6.0,12.0,4.0,10.0,H,5.0,3.0,11.0,5.0,4.0,5.0,7.0,5.0,0.914215,0.843331,ENG-Premier League,0.07088399999999995,0.07088399999999995,1.0840511210294403,0.914215,0.843331
SP1,2014-08-24,Barcelona,Elche,2024.84,1682.16,3.0,9.0,4.0,5.0,H,3.0,3.0,8.0,6.0,2.0,3.0,3.0,6.0,1.54124,0.10804,ESP-La Liga,1.4332,1.4332,14.265325200618284,1.54124,0.10804
F1,2014-08-24,Lyon,Lens,1707.11,1490.27,6.0,6.0,3.0,6.0,A,4.0,2.0,6.0,7.0,2.0,2.0,8.0,4.0,0.907071,1.83188,FRA-Ligue 1,-0.924809,0.924809,0.4951582553670244,1.4855355000000001,0.999504
SP1,2014-08-24,Levante,Villarreal,1740.77,1783.38,6.0,8.0,7.0,7.0,A,4.0,1.0,5.0,2.0,6.0,1.0,8.0,6.0,0.345435,3.01412,ESP-La Liga,-2.668685,2.668685,0.1146055516682973,0.345435,3.01412
F1,2014-08-24,Nantes,Monaco,1566.93,1695.17,5.0,6.0,1.0,5.0,A,2.0,1.0,4.0,5.0,3.0,7.0,6.0,9.0,2.58841,0.835173,FRA-Ligue 1,1.753237,1.753237,3.0992463845857268,1.806705,0.7051605000000001
E0,2014-08-24,Tottenham,Queens Park Rangers,1800.83,1577.67,6.0,12.0,4.0,7.0,H,4.0,2.0,8.0,3.0,4.0,4.0,6.0,6.0,2.38894,1.07617,ENG-Premier League,1.3127699999999998,1.3127699999999998,2.2198516778467363,2.38894,1.07617
E0,2014-08-24,Sunderland,Manchester United,1647.63,1858.6,4.0,10.0,4.0,7.0,D,5.0,5.0,10.0,5.0,5.0,4.0,9.0,5.0,0.666489,0.941557,ENG-Premier League,-0.275068,0.275068,0.7078576147194331,0.666489,0.941557
SP1,2014-08-25,Real Madrid,Cordoba,2075.35,1604.37,4.0,8.0,5.0,8.0,H,4.0,4.0,10.0,6.0,3.0,1.0,5.0,3.0,0.612645,0.37841,ESP-La Liga,0.23423499999999997,0.23423499999999997,1.6189936339059912,0.612645,0.37841
F1,2014-08-29,Marseille,Nice,1655.03,1556.93,4.0,8.0,4.0,4.0,H,4.0,5.0,6.0,6.0,4.0,5.0,4.0,8.0,4.68663,0.699986,FRA-Ligue 1,3.986644,3.986644,6.695310055758179,2.89443,0.5133745000000001
SP1,2014-08-29,Getafe,Almeria,1715.53,1688.44,6.0,10.0,5.0,11.0,H,4.0,4.0,7.0,6.0,3.0,1.0,8.0,4.0,1.31774,1.31079,ESP-La Liga,0.006950000000000012,0.006950000000000012,1.005301379090946,1.31774,1.31079
SP1,2014-08-29,Valencia,Malaga,1803.59,1754.0,4.0,5.0,7.0,7.0,H,3.0,4.0,5.0,7.0,3.0,1.0,3.0,3.0,1.96863,1.13196,ESP-La Liga,0.83667,0.83667,1.7391323552666569,1.96863,1.13196
E0,2014-08-30,Burnley,Manchester United,1613.48,1858.6,1.0,7.0,2.0,5.0,D,3.0,6.0,6.0,6.0,3.0,4.0,6.0,6.0,0.513746,0.467281,ENG-Premier League,0.046465000000000034,0.046465000000000034,1.099434602659636,0.4424435,0.704419
E0,2014-08-30,Everton,Chelsea,1828.43,1918.65,5.0,5.0,9.0,13.0,A,6.0,4.0,8.0,9.0,7.0,2.0,9.0,2.0,1.4491,2.02665,ENG-Premier League,-0.57755,0.57755,0.7150219746764489,1.391695,2.0783050000000003
E0,2014-08-30,Newcastle United,Crystal Palace,1650.72,1627.0,1.0,4.0,1.0,2.0,D,1.0,4.0,4.0,7.0,4.0,7.0,7.0,12.0,1.69776,1.66056,ENG-Premier League,0.0371999999999999,0.0371999999999999,1.0224014655288183,1.69776,0.9093555
E0,2014-08-30,Queens Park Rangers,Sunderland,1577.67,1647.63,3.0,7.0,2.0,8.0,H,3.0,7.0,6.0,9.0,4.0,6.0,7.0,6.0,1.27277,0.964343,ENG-Premier League,0.308427,0.308427,1.3198298532473889,1.27277,0.9781219999999999
E0,2014-08-30,Swansea,West Bromwich Albion,1672.92,1634.61,9.0,12.0,2.0,2.0,H,6.0,2.0,10.0,4.0,3.0,4.0,3.0,7.0,2.02641,0.696665,ENG-Premier League,1.329745,1.329745,2.9087252715074365,1.4703125,0.681228
E0,2014-08-30,West Ham,Southampton,1663.89,1718.77,3.0,6.0,2.0,8.0,A,3.0,4.0,5.0,5.0,2.0,3.0,5.0,3.0,0.635223,1.57513,ENG-Premier League,-0.9399069999999999,0.9399069999999999,0.403282647602009,1.2441615,1.563805
F1,2014-08-30,Nantes,Montpellier,1566.93,1569.58,4.0,5.0,6.0,6.0,H,2.0,2.0,3.0,5.0,4.0,1.0,4.0,7.0,1.27017,0.127161,FRA-Ligue 1,1.143009,1.143009,9.988597222440667,1.62786,0.8433455000000001
F1,2014-08-30,Toulouse,Evian Thonon Gaillard,1575.77,1554.44,3.0,6.0,1.0,7.0,H,4.0,5.0,7.0,8.0,2.0,9.0,7.0,9.0,0.851431,0.710663,FRA-Ligue 1,0.140768,0.140768,1.1980781353776186,1.1454955,0.8865615
F1,2014-08-30,Monaco,Lille,1695.17,1717.46,3.0,7.0,7.0,10.0,D,3.0,6.0,6.0,8.0,3.0,0.0,8.0,4.0,1.74105,0.209403,FRA-Ligue 1,1.531647,1.531647,8.314311092433764,1.91719,0.577682
F1,2014-08-30,Lorient,Guingamp,1601.11,1529.2,4.0,7.0,3.0,6.0,H,2.0,3.0,4.0,7.0,1.0,3.0,3.0,4.0,2.04974,0.607468,FRA-Ligue 1,1.442272,1.442272,3.37422979608836,1.541655,0.805779
F1,2014-08-30,Lens,Reims,1490.27,1549.84,3.0,6.0,1.0,1.0,H,1.0,2.0,3.0,3.0,3.0,7.0,5.0,12.0,2.67759,1.28585,FRA-Ligue 1,1.39174,1.39174,2.0823485769346526,1.793178,1.28585
F1,2014-08-30,Caen,Rennes,1547.24,1579.42,6.0,8.0,4.0,7.0,A,5.0,1.0,8.0,4.0,6.0,4.0,10.0,7.0,0.419379,1.17366,FRA-Ligue 1,-0.754281,0.754281,0.3573254968853869,0.34658900000000004,0.7748029999999999
I1,2014-08-30,Chievo,Juventus,1546.19,1896.4,6.0,6.0,9.0,15.0,A,3.0,2.0,4.0,5.0,5.0,0.0,9.0,1.0,0.502227,2.37394,ITA-Serie A,-1.8717130000000002,1.8717130000000002,0.211558332747107,0.502227,2.37394
